RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
102001,0,United States,country,US,243621.61,245104.46,246647.10,247967.98,248711.48,249130.04,249801.40,251410.29,254173.57,257548.91,261366.31,265086.83,268665.11,272322.87,276140.88,280316.56,284948.88,289930.83,294402.68,297580.57,299520.17,301421.20,303998.38,307174.58,311544.30,316777.90,322931.24,329081.20,334576.82,339170.52,341584.58,341952.05,340697.43,339490.99,338500.44,337600.78,336421.77,335560.11,335499.20,336454.29,338064.44,339983.43,341714.50,343320.86,344534.47,345442.62,346085.97,346512.92,346937.80,347716.40
394913,1,"New York, NY",msa,NY,495913.54,498129.64,500678.58,502996.13,504832.92,505170.31,504264.72,503587.67,505242.19,508908.29,514215.83,520447.22,526377.87,532577.71,538333.06,544101.50,549663.46,554651.57,558810.34,561313.22,562841.19,564996.95,568455.84,572355.90,576501.97,581066.27,587288.69,593835.61,600441.80,606485.84,610332.09,611047.28,608564.38,606024.05,604018.95,602603.06,601790.74,600445.36,600758.07,602748.97,606745.12,610879.61,614451.35,617722.77,620426.48,622753.72,625046.49,627786.76,630647.13,634651.29
753899,2,"Los Angeles, CA",msa,CA,679119.31,680677.33,681457.17,682438.90,681482.75,678606.82,678285.03,683415.48,694413.83,707580.08,722160.66,736071.01,745439.28,751283.85,754532.05,761463.26,771290.29,783433.91,795364.68,804493.01,811567.55,818402.04,826898.59,837107.30,849380.19,863899.05,880218.10,895020.55,906656.82,913216.94,915078.17,911947.30,906181.90,900821.46,897009.45,893828.16,885384.47,874288.35,864349.47,861930.40,865780.17,873714.46,885120.40,898920.60,912854.60,924447.81,933172.34,938650.92,938807.28,935800.63
394463,3,"Chicago, IL",msa,IL,233477.14,234792.15,236171.83,237033.77,237125.43,236673.39,236206.73,236527.15,238069.11,240466.54,243436.51,246390.01,249324.79,252513.50,255826.90,259007.56,261924.86,264735.72,267082.54,268456.80,268714.72,268856.78,269513.92,270958.32,273524.89,277263.52,281925.38,286435.54,289580.60,291705.46,292221.18,291617.08,289972.68,288650.24,287894.04,287482.30,286885.94,286735.49,287367.70,289026.74,291175.59,293687.07,296179.31,298585.66,300379.19,301714.52,302609.39,303230.29,303876.12,305231.33
394514,4,"Dallas, TX",msa,TX,255850.40,257384.25,258842.75,259610.51,259601.29,259387.97,259744.03,261152.88,263599.06,266651.03,270221.29,273828.76,277643.78,281679.90,286178.42,291151.00,296880.22,302877.73,308311.80,312523.29,315818.28,319323.61,323648.85,328613.57,335512.80,343794.25,353191.90,362475.92,370880.03,378084.25,382041.36,382698.41,381013.60,378970.29,377074.49,375101.63,372559.56,370293.41,368756.17,368204.43,368490.45,369308.97,370286.44,371208.79,371624.03,371738.58,371599.79,371273.69,371295.35,371776.65
394692,5,"Houston, TX",msa,TX,221392.86,222228.73,223029.19,223525.41,223523.90,223482.52,223876.59,225025.67,226771.77,228911.87,231516.91,234136.71,236861.81,239610.23,242660.77,245961.19,249787.44,253978.78,257849.11,260845.87,263094.29,265580.33,268712.67,272242.31,276765.34,281885.58,287855.30,293588.50,298836.91,303313.47,306328.34,307630.15,307544.41,307024.10,306399.58,305224.45,303461.42,301787.50,300640.50,300192.77,300347.41,301151.11,302072.64,302946.55,303302.70,303328.29,303044.44,302632.63,302626.65,303001.59
395209,6,"Washington, DC",msa,VA,432903.83,435646.64,438440.22,440760.70,441909.07,442149.29,442639.11,444793.27,448992.58,454382.69,460320.85,465957.63,471054.62,476295.54,482102.34,488621.58,495233.96,501006.07,504533.96,505765.75,505193.00,505064.00,505864.22,508021.96,511970.22,517950.45,525917.51,533783.52,540296.73,543956.62,543913.92,540716.26,536137.47,533006.84,531310.19,530646.99,529873.55,529608.33,529741.03,531270.63,533832.95,537479.44,540848.96,543583.68,545322.63,546461.48,547119.46,547680.81,548102.42,549546.68
394974,7,"Philadelphia, PA",msa,PA,246995.50,248760.35,250890.52,252906.02,254115.45,254574.15,254903.72,255953.91,258226.68,261417.15,265473.06,269690.03,273621.61,277410.25,281145.31,284853.89,288534.62,292140.67,294811.34,296036.15,295646.09,295362.37,295790.57,297361.71,300463.78,304737.39,309977.56,315139.34,319770.03,323452.36,325089.54,324975.62,323916.60,323532.05,323697.42,323998.33,324009.03,324146.68,325104.34,327009.56,329818.00,332754.46,335614.29,338239.86,340486.61,342155.61,343501.76,344660.52,345845.37,347370.64
394856,8,"Miami, FL",msa,FL,296853.91,299021.49,300890.66,301834.34,301752.75,301303.69,301367.34,302717.11,305236.14,308373.16,312221.27,316168.29,320185.34,324010.42,327954.46,332162.80,337198.42,343139.75,349221.16,354530.24,358864.92,363030.95,367922.59,373526.29,381038.50,389857.23,400312.88,411122.72,421388.16,430618.61,437400.10,441563.29,443150.95,444026.93,444908.53,446059.60,446603.27,446851.85,447435.52,448982.06,451513.72,455046.11,458700.47,462356.75,465265.87,468100.80,470973.98,473633.94,475997.90,477916.59
394347,9,"Atlanta, GA",msa,GA,243295.30,245098.78,246719.41,247846.81,248229.01,248424.14,249055.96,250767.75,253549.76,257101.16,261190.06,265351.53,269597.18,274088.25,278871.15,283835.71,289206.49,294973.66,300343.68,304775.46,308545.66,312880.55,318149.98,324088.90,331340.31,339183.57,347550.78,355313.77,362139.55,367687.96,370767.54,371535.02,370493.67,369179.83,367798.05,366251.23,364560.75,363295.76,362971.34,363371.97,364627.48,366338.28,368283.52,370139.81,371730.67,372987.54,373928.20,374598.04,375141.86,376063.36
394404,10,"Boston, MA",msa,MA,483732.79,486493.02,490010.94,492979.36,494788.19,495622.22,496475.99,499081.01,504096.94,510786.38,518473.25,526091.58,532920.43,539704.48,546611.47,554193.59,562072.20,569315.80,574022.71,575209.40,574092.46,573378.81,574198.32,576336.72,581685.31,590212.83,601879.23,613053.73,622682.33,629520.53,632062.22,629901.09,624514.27,620066.36,617594.53,616873.61,615642.18,614503.77,614710.73,618183.42,623997.77,630758.06,637295.11,643638.90,649201.23,653757.36,657164.66,659884.85,661841.53,664491.26
